Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods,Service Department,Expense Area,Net Order Value,GL Code,Cost Centre
01/07/2024,ZZH742545,1,543,Konica Minolta Business Soltns,171113,Education Library Books,Library Equipment,Corporate and Support Services,Public Libraries Gen,12348.00,400201,11329
01/07/2024,ZSB742488,1,14834,Secure and Protect Solutions L,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to People,Highfields PRU,5131.00,200160,10329
01/07/2024,ZZH742497,1,16322,Hulley and Kirkwood,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Corporate and Support Services,#N/A,8200.00,200123,C.11525.100
01/07/2024,ZSB742524,1,15339,Aspen Woodwork Ltd,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to People,Highfields PRU,28905.00,200123,10329
01/07/2024,ZSB742522,1,6190,Containers Direct,181800,Environmental Services Technical Equipment,Furniture and Equipment,Services to People,Highfields PRU,7175.00,400110,10329
01/07/2024,ZZH742551,1,3529,Totally Local Company Ltd,240000,Horticultural,Grounds Maintenance,Services to People,Schools Contingency,19728.16,202030,10437
02/07/2024,ZZH742580,1,6165,Rehabilitation Manufacturin,181800,Environmental Services Technical Equipment,Furniture and Equipment,Services to People,SEN Equipment,5273.70,400110,10324
09/07/2024,ZZH742953,1,12609,Sunbelt Rentals Limited,202000,Financial Services Rents,Rents,Corporate and Support Services,Parliment&O Election,21065.00,200720,12103
09/07/2024,ZZH742953,2,12609,Sunbelt Rentals Limited,202000,Financial Services Rents,Rents,Corporate and Support Services,Parliment&O Election,280.00,200720,12103
09/07/2024,ZZH742908,1,5276,ESE Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,6406.45,400401,10864
09/07/2024,ZZH742908,2,5276,ESE Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,3431.00,400401,10864
10/07/2024,ZSB742995,1,5535,Elementary Technology Ltd,181800,Environmental Services Technical Equipment,Furniture and Equipment,Services to People,Highfields PRU,9899.00,400110,10329
11/07/2024,ZZH743086,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Services to Place,#N/A,65185.83,401600,C.01477.203
11/07/2024,ZZH743082,1,6748,GEORGE COX & SONS LTD,391114,"Works - Construction, Repair & Maintenance Buildings Surveys",Capital Expenditure - Fees,Services to Place,#N/A,9406.50,200316,C.01582.202
11/07/2024,ZZH743033,1,5276,ESE Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,6763.50,400401,10864
11/07/2024,ZZH743033,2,5276,ESE Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,4098.00,400401,10864
12/07/2024,ZSB743102,1,16330,EDF ENERGY - Large Accounts,370000,Utilities,Utilities,Services to People,Highfields PRU,2525.80,200510,10329
12/07/2024,ZSB743102,2,16330,EDF ENERGY - Large Accounts,370000,Utilities,Utilities,Services to People,Highfields PRU,2504.67,200510,10329
12/07/2024,ZSB743102,3,16330,EDF ENERGY - Large Accounts,370000,Utilities,Utilities,Services to People,Highfields PRU,2244.32,200510,10329
12/07/2024,ZSB743102,4,16330,EDF ENERGY - Large Accounts,370000,Utilities,Utilities,Services to People,Highfields PRU,68.93,200510,10329
15/07/2024,ZZH743140,1,12068,1st Alarm Security,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to People,#N/A,12074.60,200160,C.10378.251
16/07/2024,ZSB743210,1,14834,Secure and Protect Solutions L,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to People,Highfields PRU,5131.00,200160,10329
16/07/2024,ZSB743210,2,14834,Secure and Protect Solutions L,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to People,Highfields PRU,1409.00,200160,10329
16/07/2024,ZZH743227,1,10796,Exvista Business Services Ltd,191600,Facilities & Management Services Printing,Printing and Photocopying,Services to Place,Crewe-Manchester RP,3732.00,400800,10083
16/07/2024,ZZH743227,1,10796,Exvista Business Services Ltd,191600,Facilities & Management Services Printing,Printing and Photocopying,Services to Place,South M/cr RP,3732.00,400800,10890
16/07/2024,ZZH743227,2,10796,Exvista Business Services Ltd,191600,Facilities & Management Services Printing,Printing and Photocopying,Services to Place,Crewe-Manchester RP,150.00,400800,10083
