Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods,Service Department,Expense Area,Net Order Value,GL Code,Cost Centre
09/12/2024,ZZH749409,1,1353,FW Sherratt Ltd,390000,Supplies and services,Supplies and services,Services to Place,#N/A,9962.50,401600,C.01699.201
13/12/2024,ZZH749608,1,6748,GEORGE COX & SONS LTD,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to Place,#N/A,87361.01,200304,C.01179.203
13/12/2024,ZZH749612,3,16504,Arcadis Consulting (UK) Ltd,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to Place,Car Park Maintenance,4454.17,200123,12510
17/12/2024,ZZH749752,1,8106,Tarmac Trading Ltd,390000,Supplies and services,Supplies and services,Services to Place,#N/A,39378.22,401600,C.01673.203
18/12/2024,ZZH749833,1,6748,GEORGE COX & SONS LTD,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to Place,#N/A,386399.77,200304,C.01615.203
20/12/2024,ZZH749943,1,7820,GMCA - GMUTC,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to Place,#N/A,43619.90,200304,C.01555.203
20/12/2024,ZZH749944,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,Services to Place,#N/A,6460.20,401600,C.01673.203
23/12/2024,ZZH749976,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Services to Place,#N/A,205304.06,401600,C.01673.203
27/12/2024,ZZH749994,1,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to Place,#N/A,42233.10,200304,C.01198.203
27/12/2024,ZZH749994,5,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to Place,#N/A,17775.00,200304,C.01198.203
30/12/2024,ZZH750020,1,7820,GMCA - GMUTC,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to Place,#N/A,13313.58,200304,C.01615.203
30/12/2024,ZZH750022,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to Place,#N/A,13330.73,200304,C.01555.203
30/12/2024,ZZH750027,1,8233,IPL Plastics Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,15456.00,400401,10864
30/12/2024,ZZH750037,1,16353,Last Drop Village Hotel & Spa,190000,Facilities & Management Services,Office Expenses,Services to People,SC - NW Strategic Sa,7300.00,400705,11491
02/12/2024,ZZC745105,1,9891,Link Maker Systems Ltd.,390000,"Works - Construction, Repair & Maintenance",Fees and Charges,Services to People,RAA Adoption Count,50991.02,401017,12957
