Date,openDoors,humidity,co2,temperature,motion,light,soundAvg,soundPeak,openWindows
2023-11-24 00:00:00+00:00,0.0,25.0,606.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 00:05:00+00:00,0.0,25.0,601.0,21.3,0.0,2.0,33.0,59.0,0.0
2023-11-24 00:10:00+00:00,0.0,25.0,593.0,21.3,0.0,2.0,33.0,59.0,0.0
2023-11-24 00:15:00+00:00,0.0,25.0,600.0,21.3,0.0,2.0,33.0,59.0,0.0
2023-11-24 00:20:00+00:00,0.0,25.0,608.0,21.3,0.0,2.0,34.0,59.0,0.0
2023-11-24 00:25:00+00:00,0.0,25.0,625.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 00:30:00+00:00,0.0,25.0,601.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 00:35:00+00:00,0.0,25.0,594.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 00:40:00+00:00,0.0,25.0,596.0,21.2,0.0,2.0,33.0,59.0,0.0
2023-11-24 00:45:00+00:00,0.0,25.0,611.0,21.2,0.0,2.0,33.0,59.0,0.0
2023-11-24 00:50:00+00:00,0.0,25.0,610.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 00:55:00+00:00,0.0,25.0,587.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 01:00:00+00:00,0.0,25.0,606.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 01:05:00+00:00,0.0,25.0,606.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 01:10:00+00:00,0.0,25.0,605.0,21.2,0.0,2.0,33.0,59.0,0.0
2023-11-24 01:15:00+00:00,0.0,25.0,596.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 01:20:00+00:00,0.0,25.0,590.0,21.2,0.0,2.0,33.0,59.0,0.0
2023-11-24 01:25:00+00:00,0.0,25.0,605.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 01:30:00+00:00,0.0,25.0,610.0,21.2,0.0,2.0,33.0,59.0,0.0
2023-11-24 01:35:00+00:00,0.0,25.0,585.0,21.2,0.0,2.0,33.0,59.0,0.0
2023-11-24 01:40:00+00:00,0.0,25.0,592.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 01:45:00+00:00,0.0,25.0,606.0,21.2,0.0,2.0,33.0,59.0,0.0
2023-11-24 01:50:00+00:00,0.0,25.0,599.0,21.2,0.0,2.0,33.0,59.0,0.0
2023-11-24 01:55:00+00:00,0.0,25.0,593.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 02:00:00+00:00,0.0,25.0,602.0,21.2,0.0,2.0,33.0,59.0,0.0
2023-11-24 02:05:00+00:00,0.0,25.0,584.0,21.2,0.0,2.0,33.0,59.0,0.0
2023-11-24 02:10:00+00:00,0.0,25.0,609.0,21.2,0.0,2.0,33.0,59.0,0.0
2023-11-24 02:15:00+00:00,0.0,25.0,590.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 02:20:00+00:00,0.0,25.0,589.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 02:25:00+00:00,0.0,25.0,598.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 02:30:00+00:00,0.0,25.0,588.0,21.2,0.0,2.0,33.0,59.0,0.0
2023-11-24 02:35:00+00:00,0.0,25.0,608.0,21.2,0.0,2.0,33.0,59.0,0.0
2023-11-24 02:40:00+00:00,0.0,25.0,596.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 02:45:00+00:00,0.0,25.0,607.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 02:50:00+00:00,0.0,25.0,608.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 02:55:00+00:00,0.0,25.0,605.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 03:00:00+00:00,0.0,25.0,603.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 03:05:00+00:00,0.0,25.0,619.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 03:10:00+00:00,0.0,25.0,599.0,21.1,0.0,2.0,34.0,59.0,0.0
2023-11-24 03:15:00+00:00,0.0,25.0,612.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 03:20:00+00:00,0.0,25.0,583.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 03:25:00+00:00,0.0,25.0,594.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 03:30:00+00:00,0.0,25.0,597.0,21.1,0.0,2.0,34.0,59.0,0.0
2023-11-24 03:35:00+00:00,0.0,25.0,608.0,21.1,0.0,2.0,34.0,59.0,0.0
2023-11-24 03:40:00+00:00,0.0,25.0,620.0,21.1,0.0,2.0,34.0,59.0,0.0
2023-11-24 03:45:00+00:00,0.0,25.0,622.0,21.2,0.0,2.0,34.0,59.0,0.0
2023-11-24 03:50:00+00:00,0.0,25.0,596.0,21.2,0.0,2.0,34.0,59.0,0.0
