Sl No.,Department-Location,Tender Title,Tender Value in Rs,Published Date,Last Date,Tender Type,Category,Sub-Category,Tender Number
167,BBMP-EE-GANDHINAGAR,"Comprensive Development of Roads with Asphalting, Impts to Drains and Footpath, Shoulder drain, In Cottonpet Sub Division Ward-109, 120, and 121 In Gandhinagar Division (Package-2)","76,699,984",20/04/2017,05/05/2017,OPEN,WORKS,,BBMP/2015-16/OW/WORK_INDENT21033/CALL-2
168,BBMP-EE-GANDHINAGAR,"Comprensive Development of Roads with Asphalting, Impts to Drains and Footpath, Shoulder drain, In Gandhinagar Sub Division Ward-77, 94, 95 and 96 In Gandhinagar Division(Package-1)","130,555,550",20/04/2017,05/05/2017,OPEN,WORKS,,BBMP/2015-16/OW/WORK_INDENT21046/CALL-2
169,BBMP-EE-CVRAMANNAGAR,CONSTRUCTION OF ADDITIONAL FIRST FLOOR BUILDING ON EXISTING BUILDING IN VISHVESHWARAIAH PARK IN WARD NO.58,"909,632",20/04/2017,08/05/2017,OPEN,WORKS,,BBMP/2016-17/BD/WORK_INDENT23175/CALL-3
170,BBMP-EE-CVRAMANNAGAR,"Construction of Community Toilet Near Gangman Qtrs, in Ward No.80 Hoysalanagara","1,102,088",21/04/2017,08/05/2017,OPEN,WORKS,,BBMP/2016-17/BD/WORK_INDENT23119/CALL-3
171,BBMP-EE-CVRAMANNAGAR,Rennovation of ARO office in Ward No.88,"1,298,324",21/04/2017,08/05/2017,OPEN,WORKS,,BBMP/2016-17/BD/WORK_INDENT23121/CALL-3
173,BBMP-EE-ELEC-BOMMANAHALLI,Providing Electrical Maintenance and repair to Kudulu Electrical Crematorium in Bommanahalli Zone,"1,599,958",23/04/2017,28/04/2017,OPEN,WORKS,Electrical,BBMP/2017-18/EL/WORK_INDENT25704
174,BBMP-EE-HEBBALA-EAST-ZN,Drilling of Borewells with pipeline at Pillappa block and Vasanthappa Garden in Ward no 20 Ganganagar,"1,259,601",25/04/2017,28/04/2017,OPEN,WORKS,Water supply/sewage lines,BBMP/2017-18/WS/WORK_INDENT25735
175,BBMP-EE-HEBBALA-EAST-ZN,Providing drinking water works in Ward No.46 in Hebbal Division,"1,299,696",25/04/2017,28/04/2017,OPEN,WORKS,Water supply/sewage lines,BBMP/2017-18/WS/WORK_INDENT25742
184,BBMP-Corporation-Off,"Consultancy service for Construction supervision Project Management and quality control for the work of Improvements and asphalting of Package no-S-2016-17-5 selected Arterial, Sub arterial and other Roads in Road Infrastructure South Division PMC 3","1,590,000",19/04/2017,24/04/2017,OPEN,SERVICES,,EE/RIS/PMC/3/16-17
185,BBMP-Corporation-Off,"Consultancy service for Construction supervision Project Management and quality control for the work of Improvements and asphalting of Package no-S-2016-17-6 selected Arterial, Sub arterial and other Roads in Road Infrastructure South Division PMC4","1,860,000",19/04/2017,24/04/2017,OPEN,SERVICES,,EE/RIS/PMC/4/16-17
186,BBMP-EE-Chamarajpeth,Engaging Private Labour and Tractor for Ward Maintenance in Ward No. 140,"1,198,752",07/04/2017,22/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT24761/CALL-2
188,BBMP-EE-Chamarajpeth,"ANNUAL MAINTENANCE OF BBMP RANGAMANDIRA, BANGALORE ONE, WARD OFFICE AND CORPORATORS OFFICE BUILDING IN JJR NAGAR WARD NO. 136","1,194,900",23/04/2017,26/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25506
189,BBMP-EE-Chamarajpeth,Providing CC camera at Garbage block spots in ward no 136,"8,161",23/04/2017,26/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25687
